Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,3.72,3.9080005,0.28499985,1
(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,4.2530003,3.1919994,0.43499947,1
(TRIPLE INCREMENT ADD),(2 4),10,NO,3.4890003,3.873001,0.43499947,1
(TRIPLE INCREMENT ADD),(1 4),7,NO,3.9679985,3.6160011,0.43500137,1
(TRIPLE INCREMENT ADD),(2 9),15,NO,3.375,3.6509972,0.43500137,1
(TRIPLE INCREMENT ADD),(8 8),33,YES,1.125,2.906002,0.28499985,1
(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,3.9249954,3.689003,0.43499756,1
(TRIPLE INCREMENT ADD),(2 1),7,NO,1.5849991,3.9060059,0.43499756,1
(TRIPLE INCREMENT ADD),(6 4),23,YES,2.0410004,3.2289963,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,3.8290024,3.112999,0.28499603,1
(TRIPLE INCREMENT ADD),(6 1),20,YES,1.8950043,2.8849945,0.28500366,1
(TRIPLE INCREMENT ADD),(2 6),12,NO,1.4209976,3.1409988,0.4350052,1
(TRIPLE INCREMENT ADD),(3 5),15,YES,1.1230011,2.861,0.28499603,1
(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,2.3740005,3.6350021,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.901001,3.6649933,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,2.9570007,3.626999,0.28500366,1
(TRIPLE INCREMENT ADD),(3 7),17,YES,1.4369965,3.178009,0.2849884,1
(INCREMENT DOUBLE DIVIDE),(9 3),2,NO,1.4150085,3.6929932,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1210022,2.9860077,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.1210022,2.9309998,0.28500366,1
(TRIPLE INCREMENT ADD),(3 7),17,YES,4.6579895,3.5599976,0.28500366,1
(DOUBLE DOUBLE DIVIDE),(4 3),2,NO,2.9190063,2.876999,0.43499756,1
(HALF THIRD ADD),(6 9),5,NO,2.6029968,3.8870087,0.43499756,1
(DOUBLE THIRD DIVIDE),(6 8),4,NO,2.6100006,3.8629913,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(3 1),2,YES,2.0390015,3.5930023,0.28500366,1
(INCREMENT THIRD TIMES),(3 6),7,NO,2.9340057,3.9389954,0.43499756,1
(INCREMENT THIRD TIMES),(4 7),10,YES,4.929001,3.8359985,0.28500366,1
(TRIPLE INCREMENT TIMES),(2 7),48,YES,2.902008,3.6819763,0.28500366,1
(TRIPLE INCREMENT DIVIDE),(7 6),3,YES,2.9240112,3.6180115,0.28497314,1
(TRIPLE TRIPLE ADD),(3 8),33,YES,1.9650269,3.5619812,0.28500366,1
(DOUBLE THIRD TIMES),(4 7),17,NO,2.875,3.04599,0.43499756,1
(TRIPLE INCREMENT ADD),(2 9),14,NO,3.955017,3.7380066,0.43499756,1
(TRIPLE INCREMENT ADD),(6 4),23,YES,1.1289978,3.7149963,0.28500366,1
(TRIPLE INCREMENT ADD),(1 4),7,NO,1.4150085,3.1229858,0.43499756,1
(DOUBLE TRIPLE DIVIDE),(3 2),1,YES,2.600006,3.2059937,0.28500366,1
(INCREMENT HALF ADD),(4 7),8,YES,2.8850098,3.7269897,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(5 3),2,NO,2.401001,3.652008,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.5950012,2.9349976,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 4),1,YES,1.5809937,3.5690002,0.28500366,1
(INCREMENT INCREMENT TIMES),(6 1),13,NO,3.3559875,2.8780212,0.43499756,1
(TRIPLE INCREMENT ADD),(3 5),15,YES,3.9059753,3.505005,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,2.3650208,3.6009827,0.43499756,1
(DOUBLE THIRD ADD),(1 6),4,YES,3.0509949,3.6800232,0.28497314,1
(TRIPLE INCREMENT ADD),(2 1),7,NO,1.4370117,2.8529968,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 3),2,NO,1.1260071,3.1849976,0.43499756,1
(TRIPLE INCREMENT ADD),(2 4),9,NO,1.1230164,3.820984,0.43499756,1
(DOUBLE DOUBLE ADD),(8 6),27,NO,3.0559998,3.020996,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(9 3),1,YES,2.953003,2.9660034,0.28500366,1
