Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,3.675,4.5769997,0.28499985,1
(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,3.316,4.351001,0.43499947,1
(TRIPLE INCREMENT ADD),(2 4),10,NO,3.0499992,4.3810005,0.43500137,1
(TRIPLE INCREMENT ADD),(1 4),7,NO,3.539997,3.8630028,0.43499756,1
(TRIPLE INCREMENT ADD),(2 9),15,NO,2.9290009,3.7910004,0.43500137,1
(TRIPLE INCREMENT ADD),(8 8),33,YES,1.560997,3.8100014,0.28499985,1
(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,7.175003,4.280998,0.43499756,1
(TRIPLE INCREMENT ADD),(2 1),7,NO,1.1180038,4.167,0.43499756,1
(TRIPLE INCREMENT ADD),(6 4),23,YES,1.112999,4.2669983,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,2.7649994,4.390999,0.28500366,1
(TRIPLE INCREMENT ADD),(6 1),20,YES,3.2559967,4.5350037,0.28499603,1
(TRIPLE INCREMENT ADD),(2 6),12,NO,0.9660034,4.350998,0.43499756,1
(TRIPLE INCREMENT ADD),(3 5),15,YES,1.1180038,3.350998,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,0.97099304,4.153,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.8789978,3.979004,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,1.1170044,4.1679993,0.28500366,1
(TRIPLE INCREMENT ADD),(3 7),17,YES,1.4269867,3.1480103,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(9 3),2,NO,0.96798706,3.576004,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.5630035,4.2380066,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.1190033,3.9129944,0.28500366,1
(TRIPLE INCREMENT ADD),(3 7),17,YES,0.9720001,3.5909882,0.28500366,1
(DOUBLE DOUBLE DIVIDE),(4 3),2,NO,3.375,4.2830048,0.43499756,1
(HALF THIRD ADD),(6 9),5,NO,3.0429993,4.1650085,0.43499756,1
(DOUBLE THIRD DIVIDE),(6 8),4,NO,3.501999,4.4309998,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(3 1),2,YES,1.1199951,3.9049988,0.28500366,1
(INCREMENT THIRD TIMES),(3 6),7,NO,2.4400024,4.6620026,0.43499756,1
