Clock.Information	Display.RefreshRate	Experiment	Group	RandomSeed	Session	SessionDate	SessionTime	SessionTimeUtc	Subject	TrialsFile	BlockNum	Blocks	Blocks.Cycle	Blocks.Sample	Final	MeanAccuracy	Procedure	Running	CorrectResponse	Delay1	Delay2	Delay3	Encoding.ACC	Encoding.CRESP	Encoding.DurationError	Encoding.OnsetDelay	Encoding.OnsetTime	Encoding.RESP	Encoding.RT	Encoding.RTTime	Execution.ACC	Execution.CRESP	Execution.DurationError	Execution.OnsetDelay	Execution.OnsetTime	Execution.RESP	Execution.RT	Execution.RTTime	Fixation1.ACC	Fixation1.CRESP	Fixation1.DurationError	Fixation1.OnsetDelay	Fixation1.OnsetTime	Fixation1.RESP	Fixation1.RT	Fixation1.RTTime	Fixation2.ACC	Fixation2.CRESP	Fixation2.DurationError	Fixation2.OnsetDelay	Fixation2.OnsetTime	Fixation2.RESP	Fixation2.RT	Fixation2.RTTime	Foil	Intermediate	Operator1	Operator2	Operator3	Practiced	Probe	Probe.ACC	Probe.CRESP	Probe.DurationError	Probe.OnsetDelay	Probe.OnsetTime	Probe.RESP	Probe.RT	Probe.RTTime	Procedure	Result	Rule	Running	Structure	Trials	Trials.Cycle	Trials.Sample	Type	X	Y
<?xml version="1.0"?>\n<Clock xmlns	59.841	fMRI-RITL-Experiment	1	1472041319	1	02-08-2012	16		11079	Stim/11079-experiment.txt	1	1	1	1	No	70	BlockProc	Blocks	b	0	0	2000	0		-999999	1	82013	b	4367	86380	0		-999999	-5	87999	b	5660	93659	0		-15	15	81027		0	0	0		-8	8	87012		0	0	30	(2, 16, 32)	TIMES	DECREMENT	DOUBLE	Yes	30	1	b	-999999	7	95019	b	841	95860	TrialProc	32	('TIMES', 'DECREMENT', 'x', 'DOUBLE', 'y')	Trials	BUxUy	1	2	1	Foil	3	8
<?xml version="1.0"?>\n<Clock xmlns	59.841	fMRI-RITL-Experiment	1	1472041319	1	02-08-2012	16		11079	Stim/11079-experiment.txt	1	1	1	1	No	70	BlockProc	Blocks	b	6000	2000	0	0		-999999	5	100017	b	2466	102483	1		-3	3	110014		0	0	0		-2	2	99014		0	0	0		-16	16	109027		0	0	5	(27, 4, 6)	DIVIDE	TRIPLE	DECREMENT	No	5	1	b	-999999	7	95019	b	841	95860	TrialProc	6	('DIVIDE', 'TRIPLE', 'x', 'DECREMENT', 'y')	Trials	BUxUy	2	2	2	Foil	9	5
<?xml version="1.0"?>\n<Clock xmlns	59.841	fMRI-RITL-Experiment	1	1472041319	1	02-08-2012	16		11079	Stim/11079-experiment.txt	1	1	1	1	No	70	BlockProc	Blocks	b	2000	2000	6000	0		-999999	5	122016	b	2219	124235	0		-999999	6	128017	b	3194	131211	0		-3	3	121014		0	0	0		-3	3	127014		0	0	17	(21, 3, 18)	SUBTRACT	TRIPLE	THIRD	Yes	17	1	b	-999999	10	135021	b	1478	136499	TrialProc	18	('SUBTRACT', 'TRIPLE', 'x', 'THIRD', 'y')	Trials	BUxUy	3	2	3	Foil	7	9
<?xml version="1.0"?>\n<Clock xmlns	59.841	fMRI-RITL-Experiment	1	1472041319	1	02-08-2012	16		11079	Stim/11079-experiment.txt	1	1	1	1	No	70	BlockProc	Blocks	y	10000	2000	0	0		-999999	4	144015	b	4108	148123	0		-999999	2	160013	b	5270	165283	0		-18	18	143029		0	0	0		-15	15	159026		0	0	40	(3, 14, 42)	TIMES	DECREMENT	DOUBLE	Yes	42	1	y	-999999	12	169023	y	1092	170115	TrialProc	42	('TIMES', 'DECREMENT', 'x', 'DOUBLE', 'y')	Trials	BUxUy	4	2	4	Correct	4	7
<?xml version="1.0"?>\n<Clock xmlns	59.841	fMRI-RITL-Experiment	1	1472041319	1	02-08-2012	16		11079	Stim/11079-experiment.txt	1	1	1	1	No	70	BlockProc	Blocks	b	2000	0	8000	0		-999999	4	172015	b	2452	174467	0		-999999	5	178016	b	5547	183563	0		-18	18	171029		0	0	0		-2	2	177013		0	0	32	(3, 10, 30)	TIMES	DECREMENT	DOUBLE	Yes	32	0	b	0	9	185020		0	0	TrialProc	30	('TIMES', 'DECREMENT', 'x', 'DOUBLE', 'y')	Trials	BUxUy	5	2	5	Foil	4	5
<?xml version="1.0"?>\n<Clock xmlns	59.841	fMRI-RITL-Experiment	1	1472041319	1	02-08-2012	16		11079	Stim/11079-experiment.txt	1	1	1	1	No	70	BlockProc	Blocks	y	8000	4000	8000	0		-999999	9	196020	b	5606	201626	0		-999999	8	212018	b	6576	218594	0		-6	6	195017		0	0	0		-5	5	211015		0	0	3	(2, 2, 4)	TIMES	THIRD	DECREMENT	No	4	0	y	-999999	7	223017	b	777	223794	TrialProc	4	('TIMES', 'THIRD', 'x', 'DECREMENT', 'y')	Trials	BUxUy	6	2	6	Correct	8	3
<?xml version="1.0"?>\n<Clock xmlns	59.841	fMRI-RITL-Experiment	1	1472041319	1	02-08-2012	16		11079	Stim/11079-experiment.txt	1	1	1	1	No	70	BlockProc	Blocks	b	2000	4000	2000	0		-999999	6	234016	b	3786	237802	0		-999999	-3	242007	b	3339	245346	0		-3	3	233013		0	0	0		-11	11	241021		0	0	30	(2, 14, 28)	TIMES	DECREMENT	DOUBLE	Yes	30	1	b	-999999	7	251017	b	665	251682	TrialProc	28	('TIMES', 'DECREMENT', 'x', 'DOUBLE', 'y')	Trials	BUxUy	7	2	7	Foil	3	7
<?xml version="1.0"?>\n<Clock xmlns	59.841	fMRI-RITL-Experiment	1	1472041319	1	02-08-2012	16		11079	Stim/11079-experiment.txt	1	1	1	1	No	70	BlockProc	Blocks	y	8000	6000	10000	0		-999999	5	256015	b	2667	258682	0		-999999	8	268018	b	4136	272154	0		-3	3	255013		0	0	0		-5	5	267015		0	0	28	(4, 6, 24)	TIMES	DECREMENT	DOUBLE	Yes	24	1	y	-999999	7	279017	y	633	279650	TrialProc	24	('TIMES', 'DECREMENT', 'x', 'DOUBLE', 'y')	Trials	BUxUy	8	2	8	Correct	5	3
<?xml version="1.0"?>\n<Clock xmlns	59.841	fMRI-RITL-Experiment	1	1472041319	1	02-08-2012	16		11079	Stim/11079-experiment.txt	1	1	1	1	No	70	BlockProc	Blocks	b	4000	6000	2000	0		-999999	-4	292006	b	2772	294778	0		-999999	3	300013	b	5916	305929	0		-10	10	291020		0	0	0		-1	1	299011		0	0	23	(14, 10, 24)	ADD	DOUBLE	INCREMENT	No	23	1	b	-999999	9	313018	b	967	313985	TrialProc	24	('ADD', 'DOUBLE', 'x', 'INCREMENT', 'y')	Trials	BUxUy	9	2	9	Foil	7	9
<?xml version="1.0"?>\n<Clock xmlns	59.841	fMRI-RITL-Experiment	1	1472041319	1	02-08-2012	16		11079	Stim/11079-experiment.txt	1	1	1	1	No	70	BlockProc	Blocks	b	2000	8000	4000	0		-999999	8	318017	y	2560	320577	0		-999999	9	324018	y	4495	328513	0		-5	5	317014		0	0	0		-6	6	323015		0	0	3	(8, 6, 2)	SUBTRACT	DECREMENT	DOUBLE	No	3	1	b	-999999	14	337023	b	738	337761	TrialProc	2	('SUBTRACT', 'DECREMENT', 'x', 'DOUBLE', 'y')	Trials	BUxUy	10	2	10	Foil	9	3
