Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,2.901,4.101,0.28499985,1
(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,3.0960007,4.034999,0.43500137,1
(TRIPLE INCREMENT ADD),(2 4),10,NO,2.7010002,4.0979996,0.43499947,1
(TRIPLE INCREMENT ADD),(1 4),7,NO,3.2489986,4.0370026,0.43499756,1
(TRIPLE INCREMENT ADD),(2 9),15,NO,2.1500015,4.0200005,0.43499756,1
(TRIPLE INCREMENT ADD),(8 8),33,YES,1.1590004,4.0230026,0.28499985,1
(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,5.791996,4.038002,0.43499756,1
(TRIPLE INCREMENT ADD),(2 1),7,NO,1.6710052,4.0379944,0.4350052,1
(TRIPLE INCREMENT ADD),(6 4),23,YES,1.1660004,4.030998,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,2.5199966,4.029999,0.28500366,1
(TRIPLE INCREMENT ADD),(6 1),20,YES,2.0059967,4.0230026,0.28499603,1
(TRIPLE INCREMENT ADD),(2 6),12,NO,1.0090027,4.0179977,0.4350052,1
(TRIPLE INCREMENT ADD),(3 5),15,YES,1.1569977,4.0110016,0.28499603,1
(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,2.017006,4.0319977,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.0130005,4.0259857,0.43501282,1
(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,1.1599884,4.0200043,0.28500366,1
(TRIPLE INCREMENT ADD),(3 7),17,YES,1.0139923,4.026001,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(9 3),2,NO,1.0090027,4.018997,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1569977,4.0120087,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.1549988,4.007004,0.28500366,1
(TRIPLE INCREMENT ADD),(3 7),17,YES,1.0189972,4.0319977,0.28500366,1
(DOUBLE DOUBLE DIVIDE),(4 3),2,NO,2.5509949,4.0890045,0.43499756,1
(HALF THIRD ADD),(6 9),5,NO,2.701004,4.095993,0.43499756,1
(DOUBLE THIRD DIVIDE),(6 8),4,NO,2.701004,4.095993,0.43501282,1
(INCREMENT DOUBLE DIVIDE),(3 1),2,YES,1.6489868,4.0140076,0.28500366,1
(INCREMENT THIRD TIMES),(3 6),7,NO,2.5509949,4.093994,0.43501282,1
(INCREMENT THIRD TIMES),(4 7),10,YES,2.7539978,4.052994,0.28500366,1
(TRIPLE INCREMENT TIMES),(2 7),48,YES,2.5510101,4.0859985,0.28500366,1
(TRIPLE INCREMENT DIVIDE),(7 6),3,YES,2.5509949,4.0849915,0.28500366,1
(TRIPLE TRIPLE ADD),(3 8),33,YES,2.5509949,4.0880127,0.28500366,1
(DOUBLE THIRD TIMES),(4 7),17,NO,2.5509949,4.092987,0.43499756,1
(TRIPLE INCREMENT ADD),(2 9),14,NO,6.727997,4.0169983,0.43499756,1
(TRIPLE INCREMENT ADD),(6 4),23,YES,1.1590271,4.0119934,0.28500366,1
(TRIPLE INCREMENT ADD),(1 4),7,NO,1.0069885,4.006012,0.43499756,1
(DOUBLE TRIPLE DIVIDE),(3 2),1,YES,2.7009888,4.0870056,0.28500366,1
(INCREMENT HALF ADD),(4 7),8,YES,2.5509949,4.0889893,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(5 3),2,NO,3.5140076,4.0230103,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.6519775,4.011017,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 4),1,YES,1.1579895,4.011017,0.28500366,1
(INCREMENT INCREMENT TIMES),(6 1),13,NO,2.5509949,4.0849915,0.43499756,1
(TRIPLE INCREMENT ADD),(3 5),15,YES,1.1629944,4.0140076,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.0079956,4.0069885,0.43502808,1
(DOUBLE THIRD ADD),(1 6),4,YES,2.7009888,4.092987,0.28500366,1
(TRIPLE INCREMENT ADD),(2 1),7,NO,1.0119934,4.0130005,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 3),2,NO,1.6440125,4.003998,0.43499756,1
(TRIPLE INCREMENT ADD),(2 4),9,NO,1.1610107,4.0079956,0.43499756,1
(DOUBLE DOUBLE ADD),(8 6),27,NO,3.1809998,4.0500183,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(9 3),1,YES,1.1559753,4.002014,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,1.0039978,4.0,0.28500366,1
(THIRD HALF ADD),(9 7),5,NO,2.5509949,4.0889893,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1530151,3.992981,0.43502808,1
(TRIPLE INCREMENT ADD),(2 6),11,NO,1.6559753,4.01001,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,1.152008,3.994995,0.43499756,1
(TRIPLE INCREMENT ADD),(8 8),33,YES,1.6499939,4.003998,0.28500366,1
(TRIPLE INCREMENT ADD),(6 1),19,NO,1.007019,4.0,0.43499756,1
(DOUBLE TRIPLE TIMES),(5 1),30,YES,2.7009888,4.090027,0.28497314,1
