Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,3.854,4.0360003,0.28499985,1
(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,3.4609995,3.998001,0.43499947,1
(TRIPLE INCREMENT ADD),(2 4),10,NO,3.6539993,4.0340004,0.43500137,1
(TRIPLE INCREMENT ADD),(1 4),7,NO,3.6119995,3.9990005,0.43499756,1
(TRIPLE INCREMENT ADD),(2 9),15,NO,1.151001,4.008999,0.43500137,1
(TRIPLE INCREMENT ADD),(8 8),33,YES,2.1100006,3.9969978,0.28499985,1
(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,5.598999,4.017006,0.43499756,1
(TRIPLE INCREMENT ADD),(2 1),7,NO,2.1259995,4.0059967,0.4350052,1
(TRIPLE INCREMENT ADD),(6 4),23,YES,1.151001,4.0029984,0.28499603,1
(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,3.9200058,3.998993,0.28500366,1
(TRIPLE INCREMENT ADD),(6 1),20,YES,1.9690018,4.0009995,0.28499603,1
(TRIPLE INCREMENT ADD),(2 6),12,NO,1.4750061,3.9929962,0.43499756,1
(TRIPLE INCREMENT ADD),(3 5),15,YES,1.1450043,3.9889984,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,1.9689941,4.003006,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,0.9989929,4.0,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,1.1470032,3.9960022,0.28500366,1
(TRIPLE INCREMENT ADD),(3 7),17,YES,1.4819946,3.996994,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(9 3),2,NO,0.9980011,3.9960022,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1459961,3.9909973,0.43501282,1
(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.1439972,3.9869995,0.28500366,1
(TRIPLE INCREMENT ADD),(3 7),17,YES,1.9679871,3.9960022,0.28500366,1
(DOUBLE DOUBLE DIVIDE),(4 3),2,NO,3.5039978,4.026001,0.43499756,1
(HALF THIRD ADD),(6 9),5,NO,3.654007,4.0319977,0.43499756,1
(DOUBLE THIRD DIVIDE),(6 8),4,NO,3.654007,4.0319977,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(3 1),2,YES,1.6289978,3.994995,0.28500366,1
(INCREMENT THIRD TIMES),(3 6),7,NO,3.0310059,4.0569916,0.43501282,1
(INCREMENT THIRD TIMES),(4 7),10,YES,4.1359863,3.998993,0.28500366,1
(TRIPLE INCREMENT TIMES),(2 7),48,YES,3.5039978,4.0230103,0.28500366,1
(TRIPLE INCREMENT DIVIDE),(7 6),3,YES,3.0310059,4.048004,0.28497314,1
(TRIPLE TRIPLE ADD),(3 8),33,YES,3.0310059,4.050995,0.28500366,1
(DOUBLE THIRD TIMES),(4 7),17,NO,3.5039978,4.029999,0.43502808,1
(TRIPLE INCREMENT ADD),(2 9),14,NO,4.6069946,4.005005,0.43499756,1
(TRIPLE INCREMENT ADD),(6 4),23,YES,2.5959778,3.9920044,0.28500366,1
(TRIPLE INCREMENT ADD),(1 4),7,NO,0.99801636,3.987976,0.43499756,1
(DOUBLE TRIPLE DIVIDE),(3 2),1,YES,3.6540222,4.023987,0.28500366,1
(INCREMENT HALF ADD),(4 7),8,YES,3.5039978,4.026001,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(5 3),2,NO,4.424988,4.0,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.631012,3.9909973,0.43499756,1
