Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,3.381,4.1480002,0.28499985,1
(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,3.0059996,4.1259995,0.43500137,1
(TRIPLE INCREMENT ADD),(2 4),10,NO,3.6539993,4.1359997,0.43500137,1
(TRIPLE INCREMENT ADD),(1 4),7,NO,2.639,4.1270027,0.43499756,1
(TRIPLE INCREMENT ADD),(2 9),15,NO,2.112999,4.1190033,0.43499756,1
(TRIPLE INCREMENT ADD),(8 8),33,YES,1.1480026,4.119999,0.28499985,1
(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,6.6220016,4.1259995,0.43499756,1
(TRIPLE INCREMENT ADD),(2 1),7,NO,2.1279984,4.123001,0.4350052,1
(TRIPLE INCREMENT ADD),(6 4),23,YES,1.6269989,4.116997,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,2.461998,4.1240005,0.28499603,1
(TRIPLE INCREMENT ADD),(6 1),20,YES,1.0,4.1190033,0.28499603,1
(TRIPLE INCREMENT ADD),(2 6),12,NO,0.99700165,4.1170044,0.43499756,1
(TRIPLE INCREMENT ADD),(3 5),15,YES,1.1439972,4.112999,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,1.9750061,4.123001,0.2849884,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.0,4.1200104,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,1.1470032,4.117996,0.28500366,1
(TRIPLE INCREMENT ADD),(3 7),17,YES,1.4789886,4.1150055,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(9 3),2,NO,0.9960022,4.116989,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1440125,4.1119995,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.1419983,4.1100006,0.28500366,1
(TRIPLE INCREMENT ADD),(3 7),17,YES,1.0019989,4.116989,0.28500366,1
(DOUBLE DOUBLE DIVIDE),(4 3),2,NO,3.0310059,4.1129913,0.43501282,1
(HALF THIRD ADD),(6 9),5,NO,3.1809998,4.144989,0.43499756,1
(DOUBLE THIRD DIVIDE),(6 8),4,NO,2.701004,4.1600037,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(3 1),2,YES,1.1459961,4.1130066,0.28500366,1
(INCREMENT THIRD TIMES),(3 6),7,NO,3.0309906,4.1460114,0.43499756,1
(INCREMENT THIRD TIMES),(4 7),10,YES,3.1539917,4.126007,0.28500366,1
(TRIPLE INCREMENT TIMES),(2 7),48,YES,3.0310059,4.1279907,0.43499756,0
(TRIPLE INCREMENT DIVIDE),(7 6),3,YES,2.7009888,4.131012,0.43499756,0
(TRIPLE TRIPLE ADD),(3 8),33,YES,3.1809998,4.140991,0.28500366,1
(DOUBLE THIRD TIMES),(4 7),17,NO,3.0310059,4.144989,0.43499756,1
(TRIPLE INCREMENT ADD),(2 9),14,NO,5.0760193,4.1159973,0.43499756,1
(TRIPLE INCREMENT ADD),(6 4),23,YES,1.1499939,4.1119995,0.28500366,1
(TRIPLE INCREMENT ADD),(1 4),7,NO,0.99801636,4.1089783,0.43499756,1
(DOUBLE TRIPLE DIVIDE),(3 2),1,YES,3.1809998,4.137024,0.28497314,1
(INCREMENT HALF ADD),(4 7),8,YES,3.0310059,4.1410217,0.28497314,1
(INCREMENT DOUBLE DIVIDE),(5 3),2,NO,3.433014,4.1159973,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1490173,4.1119995,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 4),1,YES,1.1470032,4.112976,0.28500366,1
(INCREMENT INCREMENT TIMES),(6 1),13,NO,3.0310059,4.11499,0.43499756,1
(TRIPLE INCREMENT ADD),(3 5),15,YES,1.152008,4.110016,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,0.99697876,4.109009,0.43499756,1
(DOUBLE THIRD ADD),(1 6),4,YES,3.1809998,4.140991,0.28500366,1
(TRIPLE INCREMENT ADD),(2 1),7,NO,1.0010071,4.109009,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 3),2,NO,1.1470032,4.1080017,0.43499756,1
(TRIPLE INCREMENT ADD),(2 4),9,NO,1.1499939,4.1059875,0.43499756,1
(DOUBLE DOUBLE ADD),(8 6),27,NO,3.1809998,4.1119995,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(9 3),1,YES,1.1460266,4.1049805,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,0.99398804,4.106018,0.28500366,1
(THIRD HALF ADD),(9 7),5,NO,3.0310059,4.139984,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1430054,4.100006,0.43499756,1
(TRIPLE INCREMENT ADD),(2 6),11,NO,1.152008,4.1069946,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,1.1419983,4.102997,0.43499756,1
(TRIPLE INCREMENT ADD),(8 8),33,YES,1.1499939,4.1059875,0.28503418,1
(TRIPLE INCREMENT ADD),(6 1),19,NO,0.99798584,4.104004,0.43499756,1
(DOUBLE TRIPLE TIMES),(5 1),30,YES,3.1810303,4.140991,0.28497314,1
(THIRD HALF DIVIDE),(9 6),2,NO,3.0310059,4.1400146,0.43499756,1
(THIRD TRIPLE TIMES),(8 1),7,NO,3.1809692,4.1380005,0.43499756,1
(HALF TRIPLE TIMES),(4 1),5,NO,3.6539917,4.1260376,0.43499756,1
(DOUBLE INCREMENT TIMES),(1 3),8,YES,3.1809692,4.1050415,0.43499756,0
Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,3.381,4.1480002,0.28499985,1
(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,3.0059996,4.1259995,0.43500137,1
(TRIPLE INCREMENT ADD),(2 4),10,NO,3.6539993,4.1359997,0.43500137,1
(TRIPLE INCREMENT ADD),(1 4),7,NO,2.639,4.1270027,0.43499756,1
(TRIPLE INCREMENT ADD),(2 9),15,NO,2.112999,4.1190033,0.43499756,1
(TRIPLE INCREMENT ADD),(8 8),33,YES,1.1480026,4.119999,0.28499985,1
(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,6.6220016,4.1259995,0.43499756,1
(TRIPLE INCREMENT ADD),(2 1),7,NO,2.1279984,4.123001,0.4350052,1
(TRIPLE INCREMENT ADD),(6 4),23,YES,1.6269989,4.116997,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,2.461998,4.1240005,0.28499603,1
(TRIPLE INCREMENT ADD),(6 1),20,YES,1.0,4.1190033,0.28499603,1
(TRIPLE INCREMENT ADD),(2 6),12,NO,0.99700165,4.1170044,0.43499756,1
(TRIPLE INCREMENT ADD),(3 5),15,YES,1.1439972,4.112999,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,1.9750061,4.123001,0.2849884,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.0,4.1200104,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,1.1470032,4.117996,0.28500366,1
(TRIPLE INCREMENT ADD),(3 7),17,YES,1.4789886,4.1150055,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(9 3),2,NO,0.9960022,4.116989,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1440125,4.1119995,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.1419983,4.1100006,0.28500366,1
(TRIPLE INCREMENT ADD),(3 7),17,YES,1.0019989,4.116989,0.28500366,1
(DOUBLE DOUBLE DIVIDE),(4 3),2,NO,3.0310059,4.1129913,0.43501282,1
(HALF THIRD ADD),(6 9),5,NO,3.1809998,4.144989,0.43499756,1
(DOUBLE THIRD DIVIDE),(6 8),4,NO,2.701004,4.1600037,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(3 1),2,YES,1.1459961,4.1130066,0.28500366,1
(INCREMENT THIRD TIMES),(3 6),7,NO,3.0309906,4.1460114,0.43499756,1
(INCREMENT THIRD TIMES),(4 7),10,YES,3.1539917,4.126007,0.28500366,1
(TRIPLE INCREMENT TIMES),(2 7),48,YES,3.0310059,4.1279907,0.43499756,0
(TRIPLE INCREMENT DIVIDE),(7 6),3,YES,2.7009888,4.131012,0.43499756,0
