Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,2.523,3.845,0.28499985,1
(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,2.0109997,3.8450012,0.43499947,1
(TRIPLE INCREMENT ADD),(2 4),10,NO,2.323,3.8449993,0.43500137,1
(TRIPLE INCREMENT ADD),(1 4),7,NO,2.1609993,3.8450012,0.43499756,1
(TRIPLE INCREMENT ADD),(2 9),15,NO,2.1609993,3.8440018,0.43500137,1
(TRIPLE INCREMENT ADD),(8 8),33,YES,2.1609993,3.843998,0.28499985,1
(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,2.0110016,3.8450012,0.4350052,1
(TRIPLE INCREMENT ADD),(2 1),7,NO,2.1609955,3.8430023,0.43499756,1
(TRIPLE INCREMENT ADD),(6 4),23,YES,2.161003,3.8419952,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,2.0110016,3.8450012,0.28499603,1
(TRIPLE INCREMENT ADD),(6 1),20,YES,2.0110016,3.8420029,0.28499603,1
(TRIPLE INCREMENT ADD),(2 6),12,NO,2.0110016,3.8419952,0.4350052,1
(TRIPLE INCREMENT ADD),(3 5),15,YES,2.1609955,3.840004,0.28499603,1
(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,2.0110016,3.8429947,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,2.0110016,3.8430023,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,2.1609955,3.8430023,0.28500366,1
(TRIPLE INCREMENT ADD),(3 7),17,YES,2.0110016,3.8390045,0.2849884,1
(INCREMENT DOUBLE DIVIDE),(9 3),2,NO,2.0110016,3.8420105,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,2.1609955,3.8399963,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,2.1610107,3.8399963,0.28500366,1
(TRIPLE INCREMENT ADD),(3 7),17,YES,2.0110016,3.8369904,0.28500366,1
(DOUBLE DOUBLE DIVIDE),(4 3),2,NO,2.1730042,3.8399963,0.43499756,1
(HALF THIRD ADD),(6 9),5,NO,2.322998,3.8430023,0.43499756,1
(DOUBLE THIRD DIVIDE),(6 8),4,NO,2.322998,3.8430023,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(3 1),2,YES,2.1610107,3.8389893,0.28500366,1
(INCREMENT THIRD TIMES),(3 6),7,NO,2.1730042,3.8450012,0.43499756,1
(INCREMENT THIRD TIMES),(4 7),10,YES,2.1609955,3.8450012,0.28500366,1
(TRIPLE INCREMENT TIMES),(2 7),48,YES,2.1730042,3.8370056,0.28500366,1
(TRIPLE INCREMENT DIVIDE),(7 6),3,YES,2.1729736,3.8359985,0.28500366,1
(TRIPLE TRIPLE ADD),(3 8),33,YES,2.1730042,3.8390198,0.28497314,1
(DOUBLE THIRD TIMES),(4 7),17,NO,2.1730042,3.8439941,0.43502808,1
(TRIPLE INCREMENT ADD),(2 9),14,NO,2.1609802,3.8349915,0.43502808,1
(TRIPLE INCREMENT ADD),(6 4),23,YES,2.1609802,3.835022,0.28497314,1
(TRIPLE INCREMENT ADD),(1 4),7,NO,2.0110168,3.8339844,0.43499756,1
(DOUBLE TRIPLE DIVIDE),(3 2),1,YES,2.322998,3.835022,0.28500366,1
(INCREMENT HALF ADD),(4 7),8,YES,2.1730042,3.8399963,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(5 3),2,NO,2.0109863,3.8359985,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,2.1610107,3.8329773,0.43502808,1
(INCREMENT DOUBLE DIVIDE),(8 4),1,YES,2.1609802,3.8370056,0.28500366,1
(INCREMENT INCREMENT TIMES),(6 1),13,NO,2.1730042,3.8359985,0.43499756,1
(TRIPLE INCREMENT ADD),(3 5),15,YES,2.1610107,3.8309937,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,2.0109863,3.8330078,0.43499756,1
(DOUBLE THIRD ADD),(1 6),4,YES,2.322998,3.8399963,0.28500366,1
(TRIPLE INCREMENT ADD),(2 1),7,NO,2.0109863,3.830017,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 3),2,NO,2.1610107,3.8329773,0.43499756,1
(TRIPLE INCREMENT ADD),(2 4),9,NO,2.1610107,3.828003,0.43499756,1
(DOUBLE DOUBLE ADD),(8 6),27,NO,2.322998,3.8349915,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(9 3),1,YES,2.1610107,3.8309937,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,2.0110168,3.8329773,0.28500366,1
(THIRD HALF ADD),(9 7),5,NO,2.1730042,3.8399963,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,2.1610107,3.828003,0.43499756,1
(TRIPLE INCREMENT ADD),(2 6),11,NO,2.1610107,3.828003,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,2.1609802,3.8320007,0.43499756,1
(TRIPLE INCREMENT ADD),(8 8),33,YES,2.1610107,3.8269958,0.28500366,1
(TRIPLE INCREMENT ADD),(6 1),19,NO,2.0109863,3.8270264,0.43499756,1
(DOUBLE TRIPLE TIMES),(5 1),30,YES,2.322998,3.8380127,0.28497314,1
(THIRD HALF DIVIDE),(9 6),2,NO,2.1730347,3.8389893,0.43499756,1
(THIRD TRIPLE TIMES),(8 1),7,NO,2.322998,3.8359985,0.43499756,1
(HALF TRIPLE TIMES),(4 1),5,NO,2.322998,3.834961,0.4350586,1
(DOUBLE INCREMENT TIMES),(1 3),8,YES,2.322998,3.829956,0.28503418,1
