Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.086,3.2530003,0.28499985,1
(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,0.58499956,3.257,0.43500042,1
(TRIPLE INCREMENT ADD),(2 4),10,NO,0.8859997,3.462,0.43499947,1
(TRIPLE INCREMENT ADD),(1 4),7,NO,0.7350006,3.4709988,0.43500137,1
(TRIPLE INCREMENT ADD),(2 9),15,NO,0.7349987,3.5009995,0.43499756,1
(TRIPLE INCREMENT ADD),(8 8),33,YES,0.7350006,3.540001,0.28499985,1
(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,0.5849991,3.4589996,0.43500137,1
(TRIPLE INCREMENT ADD),(2 1),7,NO,0.7350006,3.5970001,0.43499756,1
(TRIPLE INCREMENT ADD),(6 4),23,YES,0.7350006,3.6410027,0.28499603,1
(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,0.5849991,3.4680023,0.28500366,1
(TRIPLE INCREMENT ADD),(6 1),20,YES,0.5849991,3.6899948,0.28500366,1
(TRIPLE INCREMENT ADD),(2 6),12,NO,0.5849991,3.6790009,0.43499756,1
(TRIPLE INCREMENT ADD),(3 5),15,YES,0.7350006,3.6710052,0.28499603,1
(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,0.5849991,3.5009995,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,0.5849991,3.498001,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,0.7350006,3.4769974,0.28500366,1
(TRIPLE INCREMENT ADD),(3 7),17,YES,0.5849991,3.677002,0.28499603,1
(INCREMENT DOUBLE DIVIDE),(9 3),2,NO,0.58499146,3.5180054,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,0.7350006,3.5059967,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 4),1,YES,0.7350006,3.498001,0.28500366,1
(TRIPLE INCREMENT ADD),(3 7),17,YES,0.5850067,3.6779938,0.28500366,1
(DOUBLE DOUBLE DIVIDE),(4 3),2,NO,0.73599243,3.831009,0.43499756,1
(HALF THIRD ADD),(6 9),5,NO,0.8860016,3.5820007,0.43499756,1
(DOUBLE THIRD DIVIDE),(6 8),4,NO,0.8860016,3.7409973,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(3 1),2,YES,0.7350006,3.8609924,0.28500366,1
(INCREMENT THIRD TIMES),(3 6),7,NO,0.7360077,3.5090027,0.43499756,1
(INCREMENT THIRD TIMES),(4 7),10,YES,0.7350006,3.5269928,0.28500366,1
(TRIPLE INCREMENT TIMES),(2 7),48,YES,0.73599243,3.878006,0.43499756,0
(TRIPLE INCREMENT DIVIDE),(7 6),3,YES,0.8860016,3.8860016,0.43499756,0
(TRIPLE TRIPLE ADD),(3 8),33,YES,0.8860016,3.9669952,0.28500366,1
(DOUBLE THIRD TIMES),(4 7),17,NO,0.7360077,3.9609985,0.43499756,1
(TRIPLE INCREMENT ADD),(2 9),14,NO,0.7350006,3.8560028,0.43499756,1
(TRIPLE INCREMENT ADD),(6 4),23,YES,0.7350006,3.847992,0.28500366,1
(TRIPLE INCREMENT ADD),(1 4),7,NO,0.5850067,3.8399963,0.43499756,1
(DOUBLE TRIPLE DIVIDE),(3 2),1,YES,0.8859863,3.9640198,0.28500366,1
(INCREMENT HALF ADD),(4 7),8,YES,0.73599243,3.7850037,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(5 3),2,NO,0.58499146,3.876007,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,0.73498535,3.8630066,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 4),1,YES,0.73501587,3.8580017,0.28497314,1
(INCREMENT INCREMENT TIMES),(6 1),13,NO,0.73602295,3.8670044,0.43499756,1
(TRIPLE INCREMENT ADD),(3 5),15,YES,0.73498535,3.8399963,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,0.58499146,3.850006,0.43499756,1
(DOUBLE THIRD ADD),(1 6),4,YES,0.88601685,3.96698,0.28500366,1
(TRIPLE INCREMENT ADD),(2 1),7,NO,0.585022,3.8359985,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(8 3),2,NO,0.73498535,3.8470154,0.43499756,1
(TRIPLE INCREMENT ADD),(2 4),9,NO,0.73498535,3.830017,0.43499756,1
(DOUBLE DOUBLE ADD),(8 6),27,NO,0.8859863,3.876007,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(9 3),1,YES,0.73501587,3.842987,0.28500366,1
(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,0.58499146,3.8370056,0.28500366,1
(THIRD HALF ADD),(9 7),5,NO,0.73599243,3.9030151,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,0.73498535,3.8269958,0.43499756,1
(TRIPLE INCREMENT ADD),(2 6),11,NO,0.73501587,3.8320007,0.43499756,1
(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,0.73498535,3.828003,0.43499756,1
(TRIPLE INCREMENT ADD),(8 8),33,YES,0.73501587,3.8269958,0.28500366,1
(TRIPLE INCREMENT ADD),(6 1),19,NO,0.58499146,3.822998,0.43499756,1
(DOUBLE TRIPLE TIMES),(5 1),30,YES,0.88601685,3.967987,0.28500366,1
(THIRD HALF DIVIDE),(9 6),2,NO,0.73599243,3.9570007,0.43499756,1
(THIRD TRIPLE TIMES),(8 1),7,NO,0.88601685,3.9639893,0.43499756,1
(HALF TRIPLE TIMES),(4 1),5,NO,0.88601685,3.9629822,0.43499756,1
(DOUBLE INCREMENT TIMES),(1 3),8,YES,0.88601685,3.8509827,0.43499756,0
