idx,model_name,alpha,ans,imaginal-delay,le,nu,Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.331,3.5779998,0.28499985,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,3.0419998,2.9019995,0.43499947,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 4),10,NO,1.1310005,3.3500004,0.43499947,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(1 4),7,NO,3.1830006,3.2799988,0.43500137,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 9),15,NO,2.204998,3.3059998,0.43500137,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(8 8),33,YES,1.1660004,3.5319977,0.28500366,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,3.4929962,2.696003,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 1),7,NO,1.6840019,2.6809998,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(6 4),23,YES,1.1730042,2.9509964,0.28500366,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,1.6039963,3.3619995,0.28500366,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(6 1),20,YES,1.0279999,3.5699997,0.28499603,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 6),12,NO,1.0289993,2.9260025,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(3 5),15,YES,1.1720047,2.8789978,0.28500366,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,2.6380005,3.5679932,0.28500366,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.0299988,2.9080048,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,1.173996,2.6950073,0.2849884,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(3 7),17,YES,1.5380096,3.5569916,0.28500366,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(9 3),2,NO,1.0189972,3.5660095,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.6649933,3.3440094,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.1569977,2.7400055,0.2849884,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(3 7),17,YES,1.0350037,3.5650024,0.28500366,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(DOUBLE DOUBLE DIVIDE),(4 3),2,NO,0.9790039,3.3829956,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(HALF THIRD ADD),(6 9),5,NO,1.1300049,3.3609924,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(DOUBLE THIRD DIVIDE),(6 8),4,NO,1.1289978,3.3690033,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(3 1),2,YES,1.1679993,2.706009,0.28500366,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT THIRD TIMES),(3 6),7,NO,0.97698975,2.9490051,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT THIRD TIMES),(4 7),10,YES,3.1370087,2.9160004,0.2849884,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT TIMES),(2 7),48,YES,0.9779968,3.5470123,0.2849884,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT DIVIDE),(7 6),3,YES,0.9790039,3.5740051,0.28500366,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE TRIPLE ADD),(3 8),33,YES,0.9799957,3.5339966,0.28500366,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(DOUBLE THIRD TIMES),(4 7),17,NO,0.9799957,3.5830078,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 9),14,NO,1.7480011,3.5309906,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(6 4),23,YES,1.1970215,2.6749878,0.28500366,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(1 4),7,NO,1.5610046,2.6819763,0.43502808,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(DOUBLE TRIPLE DIVIDE),(3 2),1,YES,1.1279907,2.7070007,0.28500366,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT HALF ADD),(4 7),8,YES,0.9819946,3.5629883,0.28500366,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(5 3),2,NO,2.0679932,3.2950134,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1789856,3.5559998,0.43502808,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(8 4),1,YES,1.1749878,3.524994,0.28500366,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT INCREMENT TIMES),(6 1),13,NO,0.97698975,3.3099976,0.43502808,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(3 5),15,YES,1.196991,3.518982,0.28500366,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.0230103,2.6489868,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(DOUBLE THIRD ADD),(1 6),4,YES,1.1240234,3.3759766,0.28500366,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 1),7,NO,1.0490112,2.6990051,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(8 3),2,NO,1.6749878,2.6540222,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 4),9,NO,1.7089844,3.3049927,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(DOUBLE DOUBLE ADD),(8 6),27,NO,1.132019,3.524994,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(9 3),1,YES,2.1560059,3.3320007,0.28500366,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,1.0069885,3.526001,0.28500366,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(THIRD HALF ADD),(9 7),5,NO,0.9819946,2.9110107,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1549988,2.9230042,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 6),11,NO,1.1919861,2.6950073,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,1.1560059,2.8850098,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(8 8),33,YES,1.7030029,3.3150024,0.28497314,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(6 1),19,NO,1.027008,2.8569946,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(DOUBLE TRIPLE TIMES),(5 1),30,YES,1.1300049,3.5180054,0.28500366,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(THIRD HALF DIVIDE),(9 6),2,NO,0.98098755,3.3430176,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(THIRD TRIPLE TIMES),(8 1),7,NO,1.1319885,3.5180054,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(HALF TRIPLE TIMES),(4 1),5,NO,1.1280212,2.9049988,0.43499756,1
9600,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(DOUBLE INCREMENT TIMES),(1 3),8,YES,1.1269836,3.32901,0.28500366,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.332,3.582,0.28499985,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,4.0109997,2.8860006,0.43499947,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 4),10,NO,1.1299992,3.5760002,0.43500137,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(1 4),7,NO,4.6209984,2.920002,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 9),15,NO,1.1480026,2.8849983,0.43500137,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(8 8),33,YES,1.1539993,3.5169983,0.28499985,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,4.653,2.8570023,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 1),7,NO,1.1740036,2.691002,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(6 4),23,YES,1.1660004,3.5509949,0.28500366,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,2.4290009,2.9049988,0.28500366,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(6 1),20,YES,2.0239944,3.5210037,0.28499603,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 6),12,NO,1.4900055,2.883995,0.4350052,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(3 5),15,YES,1.6239929,3.3220062,0.28499603,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,1.0039978,2.6440048,0.28499603,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.0009995,3.3420029,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(8 3),1,YES,1.1490021,3.3029938,0.28500366,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(3 7),17,YES,1.0039978,2.9240112,0.2849884,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(9 3),2,NO,1.4730072,3.5670013,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1459961,3.527008,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.1389923,3.3650055,0.28500366,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(3 7),17,YES,1.4989929,2.9150085,0.2849884,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(DOUBLE DOUBLE DIVIDE),(4 3),2,NO,0.9820099,3.324997,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(HALF THIRD ADD),(6 9),5,NO,1.1289978,3.5380096,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(DOUBLE THIRD DIVIDE),(6 8),4,NO,1.1320038,2.7029877,0.43501282,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(3 1),2,YES,1.1489868,2.8870087,0.28500366,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT THIRD TIMES),(3 6),7,NO,0.9759979,3.3410034,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT THIRD TIMES),(4 7),10,YES,3.1809998,3.3549957,0.28500366,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT TIMES),(2 7),48,YES,0.9819946,2.876007,0.2849884,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT DIVIDE),(7 6),3,YES,0.9810028,2.7050018,0.28500366,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE TRIPLE ADD),(3 8),33,YES,0.9810028,3.54599,0.28500366,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(DOUBLE THIRD TIMES),(4 7),17,NO,0.9819946,2.6580048,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 9),14,NO,2.180008,2.6869812,0.43502808,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(6 4),23,YES,1.1619873,3.3359985,0.28500366,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(1 4),7,NO,1.0100098,3.3499756,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(DOUBLE TRIPLE DIVIDE),(3 2),1,YES,1.132019,3.5639954,0.28500366,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT HALF ADD),(4 7),8,YES,0.9819946,3.5429993,0.28500366,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(5 3),2,NO,1.0190125,2.6539917,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1640015,2.6629944,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(8 4),1,YES,1.1570129,3.5509949,0.28500366,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT INCREMENT TIMES),(6 1),13,NO,0.98098755,3.376007,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(3 5),15,YES,2.1679993,3.5429993,0.28500366,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,2.4609985,2.6870117,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(DOUBLE THIRD ADD),(1 6),4,YES,1.1309814,2.899994,0.28500366,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 1),7,NO,1.4980164,2.8569946,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(8 3),2,NO,1.625,2.8980103,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 4),9,NO,2.600006,2.690979,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(DOUBLE DOUBLE ADD),(8 6),27,NO,1.1300049,3.3520203,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(9 3),1,YES,1.1479797,3.5550232,0.28497314,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(3 2),1,YES,0.9960022,3.3310242,0.28497314,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(THIRD HALF ADD),(9 7),5,NO,0.9830017,3.5660095,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(7 3),2,NO,1.1440125,3.2980042,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 6),11,NO,1.1519775,3.3170166,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,1.1459961,2.6759949,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(8 8),33,YES,1.1540222,3.3410034,0.28497314,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(6 1),19,NO,0.9970093,2.907013,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(DOUBLE TRIPLE TIMES),(5 1),30,YES,1.1269836,2.7480164,0.28500366,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(THIRD HALF DIVIDE),(9 6),2,NO,0.9819946,2.6929932,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(THIRD TRIPLE TIMES),(8 1),7,NO,1.1319885,3.3160095,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(HALF TRIPLE TIMES),(4 1),5,NO,1.1289978,3.526001,0.43499756,1
9601,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(DOUBLE INCREMENT TIMES),(1 3),8,YES,1.131012,3.3510132,0.28497314,1
9602,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.792,3.5670002,0.28499985,1
9602,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,3.184,3.599,0.43499947,1
9602,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 4),10,NO,2.0440006,3.532999,0.43500137,1
9602,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(1 4),7,NO,3.157999,2.9189987,0.43500137,1
9602,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 9),15,NO,2.0649986,2.6629982,0.43500137,1
9602,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(8 8),33,YES,1.5800018,2.8879967,0.28499985,1
9602,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,6.054001,2.8710022,0.4350052,1
9602,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 1),7,NO,1.1429977,3.3030014,0.43499756,1
9602,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(6 4),23,YES,1.6090012,2.677002,0.28499603,1
9602,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,0.9830017,2.699997,0.28500366,1
9602,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(6 1),20,YES,1.9169998,2.6790009,0.28499603,1
9602,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(2 6),12,NO,0.9830017,2.899002,0.43499756,1
9602,BILINGUAL-DEVEL,0.4,0.01,0.17,1.1,0.0,(TRIPLE INCREMENT ADD),(3 5),15,YES,1.1310043,3.586998,0.28499603,1
