idx,model_name,alpha,ans,imaginal-delay,le,nu,Rule,Inputs,Probe,ProbeCorrect,EncodingRT,ExecutionRT,ProbeRT,Accuracy
52200,MONOLINGUAL-DEVEL,0.3,0.05,0.24,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(5 3),1,YES,1.394,4.944,0.28499985,1
52200,MONOLINGUAL-DEVEL,0.3,0.05,0.24,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(1 1),2,NO,4.6289997,3.5600004,0.43499947,1
52200,MONOLINGUAL-DEVEL,0.3,0.05,0.24,1.1,0.0,(TRIPLE INCREMENT ADD),(2 4),10,NO,2.2779999,4.450001,0.43499947,1
52200,MONOLINGUAL-DEVEL,0.3,0.05,0.24,1.1,0.0,(TRIPLE INCREMENT ADD),(1 4),7,NO,2.9049988,4.337002,0.43500137,1
52200,MONOLINGUAL-DEVEL,0.3,0.05,0.24,1.1,0.0,(TRIPLE INCREMENT ADD),(2 9),15,NO,2.2629967,3.8590012,0.43500137,1
52200,MONOLINGUAL-DEVEL,0.3,0.05,0.24,1.1,0.0,(TRIPLE INCREMENT ADD),(8 8),33,YES,1.1870003,4.1380005,0.28499985,1
52200,MONOLINGUAL-DEVEL,0.3,0.05,0.24,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(3 1),1,NO,3.914997,4.2529984,0.4350052,1
52200,MONOLINGUAL-DEVEL,0.3,0.05,0.24,1.1,0.0,(TRIPLE INCREMENT ADD),(2 1),7,NO,1.2089996,3.4109955,0.4350052,1
52200,MONOLINGUAL-DEVEL,0.3,0.05,0.24,1.1,0.0,(TRIPLE INCREMENT ADD),(6 4),23,YES,1.1989975,4.385002,0.28499603,1
52200,MONOLINGUAL-DEVEL,0.3,0.05,0.24,1.1,0.0,(INCREMENT DOUBLE DIVIDE),(7 3),1,YES,1.6110001,4.0579987,0.28500366,1
